Number,MSE
1235,0.258646
1236,0.258633
1237,0.258620
1238,0.258607
1239,0.258594
1240,0.258581
1241,0.258568
1242,0.258555
1243,0.258541
1244,0.258528
1245,0.258515
1246,0.258501
1247,0.258488
1248,0.258474
1249,0.258461
1250,0.258447
1251,0.258433
1252,0.258419
1253,0.258404
1254,0.258390
1255,0.258375
1256,0.258361
1257,0.258346
1258,0.258332
1259,0.258317
1260,0.258302
1261,0.258287
1262,0.258272
1263,0.258257
1264,0.258241
1265,0.258226
1266,0.258210
1267,0.258194
1268,0.258178
1269,0.258162
1270,0.258146
1271,0.258130
1272,0.258113
1273,0.258097
1274,0.258080
1275,0.258063
1276,0.258046
1277,0.258028
1278,0.258011
1279,0.257994
1280,0.257976
1281,0.257959
1282,0.257941
1283,0.257923
1284,0.257905
1285,0.257887
1286,0.257868
1287,0.257849
1288,0.257830
1289,0.257811
1290,0.257792
1291,0.257773
1292,0.257753
1293,0.257734
1294,0.257714
1295,0.257694
1296,0.257674
1297,0.257654
1298,0.257634
1299,0.257613
1300,0.257592
1301,0.257571
1302,0.257550
1303,0.257529
1304,0.257507
1305,0.257485
1306,0.257463
1307,0.257441
1308,0.257419
1309,0.257397
1310,0.257374
1311,0.257351
1312,0.257329
1313,0.257305
1314,0.257282
1315,0.257258
1316,0.257235
1317,0.257211
1318,0.257187
1319,0.257162
1320,0.257138
1321,0.257113
1322,0.257088
1323,0.257063
1324,0.257038
1325,0.257012
1326,0.256987
1327,0.256961
1328,0.256934
1329,0.256908
1330,0.256881
1331,0.256855
1332,0.256828
1333,0.256801
1334,0.256773
1335,0.256745
1336,0.256717
1337,0.256689
1338,0.256661
1339,0.256633
1340,0.256604
1341,0.256575
1342,0.256545
1343,0.256516
1344,0.256487
1345,0.256457
1346,0.256427
1347,0.256397
1348,0.256367
1349,0.256337
1350,0.256306
1351,0.256275
1352,0.256244
1353,0.256213
1354,0.256180
1355,0.256149
1356,0.256116
1357,0.256085
1358,0.256052
1359,0.256020
1360,0.255988
1361,0.255954
1362,0.255922
1363,0.255888
1364,0.255855
1365,0.255822
1366,0.255788
1367,0.255754
1368,0.255720
1369,0.255685
1370,0.255649
1371,0.255615
1372,0.255580
1373,0.255545
1374,0.255510
1375,0.255474
1376,0.255439
1377,0.255403
1378,0.255367
1379,0.255331
1380,0.255295
1381,0.255258
1382,0.255222
1383,0.255186
1384,0.255148
1385,0.255112
1386,0.255075
1387,0.255037
1388,0.255000
1389,0.254962
1390,0.254924
1391,0.254886
1392,0.254849
1393,0.254810
1394,0.254772
1395,0.254734
1396,0.254695
1397,0.254656
1398,0.254617
1399,0.254579
1400,0.254539
1401,0.254499
1402,0.254461
1403,0.254421
1404,0.254381
1405,0.254341
1406,0.254302
1407,0.254262
1408,0.254221
1409,0.254181
1410,0.254141
1411,0.254101
1412,0.254060
1413,0.254019
1414,0.253979
1415,0.253938
1416,0.253896
1417,0.253855
1418,0.253815
1419,0.253773
1420,0.253732
1421,0.253690
1422,0.253649
1423,0.253607
1424,0.253565
1425,0.253523
1426,0.253481
1427,0.253439
1428,0.253397
1429,0.253354
1430,0.253312
1431,0.253270
1432,0.253228
1433,0.253185
1434,0.253142
1435,0.253098
1436,0.253056
1437,0.253013
1438,0.252970
1439,0.252927
1440,0.252884
1441,0.252841
1442,0.252798
1443,0.252754
1444,0.252711
1445,0.252667
1446,0.252624
1447,0.252581
1448,0.252537
1449,0.252493
1450,0.252449
1451,0.252406
1452,0.252362
1453,0.252318
1454,0.252274
1455,0.252229
1456,0.252185
1457,0.252141
1458,0.252097
1459,0.252053
1460,0.252008
1461,0.251963
1462,0.251919
1463,0.251875
1464,0.251831
1465,0.251786
1466,0.251741
1467,0.251696
1468,0.251651
1469,0.251607
1470,0.251562
1471,0.251517
1472,0.251471
1473,0.251426
1474,0.251381
1475,0.251336
1476,0.251291
1477,0.251246
1478,0.251200
1479,0.251154
1480,0.251109
1481,0.251064
1482,0.251018
1483,0.250973
1484,0.250927
1485,0.250881
1486,0.250835
1487,0.250790
1488,0.250744
1489,0.250698
1490,0.250652
1491,0.250606
1492,0.250559
1493,0.250513
1494,0.250468
1495,0.250422
1496,0.250375
1497,0.250329
1498,0.250282
1499,0.250236
1500,0.250189
1501,0.250143
1502,0.250097
1503,0.250050
1504,0.250004
1505,0.249957
1506,0.249910
1507,0.249862
1508,0.249816
1509,0.249769
1510,0.249723
1511,0.249676
1512,0.249628
1513,0.249581
1514,0.249533
1515,0.249486
1516,0.249439
1517,0.249392
1518,0.249345
1519,0.249297
1520,0.249249
1521,0.249201
1522,0.249153
1523,0.249105
1524,0.249058
1525,0.249010
1526,0.248962
1527,0.248914
1528,0.248866
1529,0.248818
1530,0.248769
1531,0.248721
1532,0.248673
1533,0.248625
1534,0.248576
1535,0.248528
1536,0.248479
1537,0.248430
1538,0.248381
1539,0.248332
1540,0.248283
1541,0.248235
1542,0.248186
1543,0.248136
1544,0.248087
1545,0.248037
1546,0.247987
1547,0.247937
1548,0.247888
1549,0.247839
1550,0.247789
1551,0.247739
1552,0.247689
1553,0.247638
1554,0.247588
1555,0.247537
1556,0.247487
1557,0.247436
1558,0.247386
1559,0.247335
1560,0.247284
1561,0.247233
1562,0.247181
1563,0.247130
1564,0.247078
1565,0.247027
1566,0.246975
1567,0.246924
1568,0.246872
1569,0.246819
1570,0.246767
1571,0.246714
1572,0.246661
1573,0.246609
1574,0.246556
1575,0.246504
1576,0.246450
1577,0.246397
1578,0.246343
1579,0.246289
1580,0.246235
1581,0.246181
1582,0.246128
1583,0.246073
1584,0.246019
1585,0.245964
1586,0.245909
1587,0.245854
1588,0.245798
1589,0.245743
1590,0.245688
1591,0.245632
1592,0.245576
1593,0.245520
1594,0.245463
1595,0.245406
1596,0.245350
1597,0.245294
1598,0.245237
1599,0.245179
1600,0.245122
1601,0.245063
1602,0.245005
1603,0.244947
1604,0.244889
1605,0.244831
1606,0.244772
1607,0.244713
1608,0.244653
1609,0.244593
1610,0.244534
1611,0.244475
1612,0.244415
1613,0.244354
1614,0.244294
1615,0.244233
1616,0.244171
1617,0.244110
1618,0.244049
1619,0.243987
1620,0.243926
1621,0.243863
1622,0.243800
1623,0.243738
1624,0.243676
1625,0.243612
1626,0.243549
1627,0.243485
1628,0.243421
1629,0.243358
1630,0.243294
1631,0.243230
1632,0.243165
1633,0.243100
1634,0.243035
1635,0.242969
1636,0.242904
1637,0.242838
1638,0.242772
1639,0.242706
1640,0.242639
1641,0.242572
1642,0.242505
1643,0.242438
1644,0.242371
1645,0.242303
1646,0.242235
1647,0.242167
1648,0.242098
1649,0.242030
1650,0.241961
1651,0.241892
1652,0.241823
1653,0.241753
1654,0.241683
1655,0.241613
1656,0.241543
1657,0.241473
1658,0.241402
1659,0.241332
1660,0.241261
1661,0.241190
1662,0.241118
1663,0.241047
1664,0.240975
1665,0.240903
1666,0.240831
1667,0.240758
1668,0.240686
1669,0.240613
1670,0.240540
1671,0.240466
1672,0.240393
1673,0.240320
1674,0.240246
1675,0.240172
1676,0.240098
1677,0.240024
1678,0.239949
1679,0.239874
1680,0.239800
1681,0.239725
1682,0.239650
1683,0.239575
1684,0.239499
1685,0.239424
1686,0.239348
1687,0.239272
1688,0.239196
1689,0.239120
1690,0.239043
1691,0.238967
1692,0.238890
1693,0.238813
1694,0.238736
1695,0.238659
1696,0.238582
1697,0.238504
1698,0.238427
1699,0.238349
1700,0.238271
1701,0.238193
1702,0.238115
1703,0.238037
1704,0.237958
1705,0.237879
1706,0.237801
1707,0.237723
1708,0.237643
1709,0.237564
1710,0.237485
1711,0.237406
1712,0.237326
1713,0.237246
1714,0.237167
1715,0.237087
1716,0.237008
1717,0.236928
1718,0.236848
1719,0.236768
1720,0.236687
1721,0.236607
1722,0.236527
1723,0.236446
1724,0.236366
1725,0.236286
1726,0.236205
1727,0.236124
1728,0.236044
1729,0.235962
1730,0.235882
1731,0.235801
1732,0.235719
1733,0.235638
1734,0.235557
1735,0.235476
1736,0.235394
1737,0.235313
1738,0.235232
1739,0.235150
1740,0.235068
1741,0.234987
1742,0.234905
1743,0.234823
1744,0.234741
1745,0.234660
1746,0.234578
1747,0.234496
1748,0.234414
1749,0.234332
1750,0.234250
1751,0.234168
1752,0.234086
1753,0.234004
1754,0.233922
1755,0.233839
1756,0.233757
1757,0.233675
1758,0.233593
1759,0.233511
1760,0.233428
1761,0.233346
1762,0.233264
1763,0.233182
1764,0.233099
1765,0.233016
1766,0.232935
1767,0.232853
1768,0.232770
1769,0.232687
1770,0.232605
1771,0.232523
1772,0.232441
1773,0.232358
1774,0.232275
1775,0.232193
1776,0.232111
1777,0.232029
1778,0.231946
1779,0.231863
1780,0.231781
1781,0.231699
1782,0.231617
1783,0.231535
1784,0.231452
1785,0.231369
1786,0.231287
1787,0.231205
1788,0.231124
1789,0.231041
1790,0.230958
1791,0.230876
1792,0.230794
1793,0.230712
1794,0.230630
1795,0.230548
1796,0.230465
1797,0.230383
1798,0.230300
1799,0.230219
1800,0.230138
1801,0.230056
1802,0.229974
1803,0.229891
1804,0.229809
1805,0.229727
1806,0.229646
1807,0.229565
1808,0.229483
1809,0.229401
1810,0.229318
1811,0.229236
1812,0.229155
1813,0.229075
1814,0.228994
1815,0.228912
1816,0.228831
1817,0.228748
1818,0.228666
1819,0.228585
1820,0.228504
1821,0.228424
1822,0.228343
1823,0.228262
1824,0.228180
1825,0.228098
1826,0.228016
1827,0.227935
1828,0.227855
1829,0.227775
1830,0.227694
1831,0.227613
1832,0.227532
1833,0.227451
1834,0.227369
1835,0.227288
1836,0.227208
1837,0.227128
1838,0.227049
1839,0.226968
1840,0.226887
1841,0.226806
1842,0.226725
1843,0.226644
1844,0.226564
1845,0.226485
1846,0.226405
1847,0.226326
1848,0.226246
1849,0.226165
1850,0.226085
1851,0.226005
1852,0.225924
1853,0.225843
1854,0.225765
1855,0.225685
1856,0.225607
1857,0.225527
1858,0.225448
1859,0.225368
1860,0.225288
1861,0.225208
1862,0.225128
1863,0.225048
1864,0.224970
1865,0.224891
1866,0.224813
1867,0.224734
1868,0.224655
1869,0.224576
